Fecha,PRECIP,EVAP,TMAX,TMIN,DIAS,HOJAS
11/05/2017,0,6.2,27,9,285,24
12/05/2017,10.5,5.2,25,9,286,24
13/05/2017,10,4.3,23,11,287,24
14/05/2017,0,4.2,22,6,288,24
15/05/2017,0,4.9,25,9,289,24
16/05/2017,0,4.2,25,9,290,24
17/05/2017,9,6.3,26,12,291,24
18/05/2017,5.5,7.6,26,12,292,24
19/05/2017,19.5,6.9,26,12,293,24
20/05/2017,0,6.6,25.6,11,294,24
21/05/2017,0,5.9,25,9,295,24
22/05/2017,0,2.8,25,11,296,24
23/05/2017,0,6,25,11,297,24
24/05/2017,0,4.1,25,15,298,24
25/05/2017,0,6.2,23,13,299,24
26/05/2017,0,6,27,11,300,24
27/05/2017,4,6.9,26,11,301,24
28/05/2017,3.5,4,21,10,302,24
29/05/2017,29,6.4,20,11,303,24
30/05/2017,3,4.233,20,11,304,24
31/05/2017,15.5,4.233,19,12,305,24
01/06/2017,12.5,2.8,16,12,306,24
02/06/2017,5,3.8,20,11,307,24
03/06/2017,0,4.8,24,11,308,24
04/06/2017,0,4.8,24,8,309,24
05/06/2017,12.5,9.8,22,11,310,24
06/06/2017,7.5,4.1,20,11,311,24
07/06/2017,9.5,5.6,21,8,312,24
08/06/2017,0,6.1,24,9,313,24
09/06/2017,0,2,21,8,314,24
10/06/2017,5,4.2,21,9,315,24
11/06/2017,0,3.4,22,9,316,24
12/06/2017,0,0.2,25,10,317,24
13/06/2017,0,8.9,22,10,318,24
14/06/2017,0,4.7,23,11,319,24
15/06/2017,0,4.6,25,12,320,24
16/06/2017,0,4.4,23,8,321,24
17/06/2017,0,5.3,24,10,322,24
18/06/2017,0,4.8,24,8,323,24
19/06/2017,0,7.5,24,10,324,24
20/06/2017,0,7.2,23,8,325,24
21/06/2017,0,2.6,24,5,326,24
22/06/2017,0,5.7,25,8,327,24
23/06/2017,12,7.9,25,8,328,24
24/06/2017,3,1.8,22,10,329,24
25/06/2017,6.5,1,18,13,330,24
26/06/2017,20,9.4,20,12,331,24
27/06/2017,6.5,17.1,18,12,332,24
28/06/2017,20,9.4,20,12,333,24
29/06/2017,0,3.7,21,12,334,24
30/06/2017,34,4.233,20,13,335,24
01/07/2017,0,4,21,9,336,24
02/07/2017,4,3.4,21,7,337,24
03/07/2017,0,2.4,21,7,338,24
04/07/2017,1.5,4.1,22,10,339,24
05/07/2017,18,4.6,22,9,340,24
06/07/2017,39,7.6,21,8,341,24
07/07/2017,2.5,5.2,19,9,342,24
08/07/2017,7.5,0.4,17,11,343,24
09/07/2017,15.5,3,19,11,344,24
10/07/2017,16.5,3.8,21,10,345,24
11/07/2017,6.5,2,20,10,346,24
12/07/2017,0,3,20,10,347,24
13/07/2017,0,5.4,21,8,348,24
14/07/2017,0,5.1,22,8,349,24
15/07/2017,7,5.2,23,8,350,24
16/07/2017,28,7.2,20,8,351,24
17/07/2017,6.5,4.6,21,9,352,24
18/07/2017,13.5,6.8,22,8,353,24
19/07/2017,0,4,21,9,354,24
20/07/2017,10,4.2,22,9,355,24
21/07/2017,12,5.3,22,9,356,24
22/07/2017,0,5.1,22,7,357,24
23/07/2017,1.5,2.9,23,8,358,24
24/07/2017,0,0.7,22,10,359,24
25/07/2017,0,1.8,18,11,360,24
26/07/2017,0,4.5,21,8,361,24
27/07/2017,0,2.6,22,9,362,24
28/07/2017,0,6.4,25,5,363,24
29/07/2017,41,12.8,24,5,364,24
30/07/2017,4,5.4,24,8,365,24
31/07/2017,1,4.233,24,8,366,24
01/08/2017,1,4.2,24,8,367,24
02/08/2017,0,3.6,24,8,368,24
03/08/2017,20.5,7.3,21,8,369,24
04/08/2017,5,3.2,23,9,370,24
05/08/2017,0,4.8,22,9,371,24
06/08/2017,0,3.4,24,9,372,24
07/08/2017,0,5.8,25,9,373,24
08/08/2017,0,7,24,7,374,24
09/08/2017,14,1.4,17,8,375,24
10/08/2017,7.5,6.8,14,12,376,24
11/08/2017,0,2.4,22,9,377,24
12/08/2017,0,0.3,21,9,378,24
13/08/2017,0,4.4,22,7,379,24
14/08/2017,0,4.4,25,7,380,24
15/08/2017,4,5.6,25,8,381,24
16/08/2017,0,2.6,22,9,382,24
17/08/2017,0,4.9,25,10,383,24
18/08/2017,1,4.4,25,9,384,24
19/08/2017,0,4.8,24,8,385,24
20/08/2017,0,5.2,25,8,386,24
21/08/2017,0,2.6,22,8,387,24
22/08/2017,0,1.6,25,8,388,24
23/08/2017,0,2.6,23,9,389,24
24/08/2017,0,3.7,23,8,390,24
25/08/2017,1.5,1.9,22,8,391,24
26/08/2017,11,10.3,25,10,392,24
27/08/2017,2,0,23,10,393,24
28/08/2017,47,4.7,21,11,394,24
29/08/2017,17.5,3.4,19,11,395,24
30/08/2017,23.5,4.233,18,12,396,24
31/08/2017,13.5,4.233,20,12,397,24
01/09/2017,13.5,2.8,20,8,398,24
02/09/2017,21.5,1.9,18,12,399,24
03/09/2017,13,3.1,18,12,400,24
04/09/2017,14,3.1,21,12,401,24
05/09/2017,2.5,3.1,21,10,402,24
06/09/2017,11.5,1.6,18,11,403,24
