Fecha,PRECIP,EVAP,TMAX,TMIN
29/11/2017,0,4.1,21,0
30/11/2017,0,4.233,22,0
01/04/2018,0,4.9,25,4
02/04/2018,0,7.3,26,8
03/04/2018,0,3.5,22,8
04/04/2018,7,3.2,24,10
05/04/2018,9.5,5.6,22,10
06/04/2018,10,2.9,19,9
07/04/2018,3,2.8,22,8
08/04/2018,0,4.8,24,9
09/04/2018,0,4.9,24,9
10/04/2018,6.5,4.1,21,6
11/04/2018,0,5.1,20,6
12/04/2018,7,3.3,21,7
13/04/2018,0,5.9,22,7
14/04/2018,0,7.3,22,9
15/04/2018,0,6.4,21,4
16/04/2018,0,4.1,22,4
17/04/2018,0,4.5,22,5
18/04/2018,0,5.7,22,9
19/04/2018,0,8.7,24,7
20/04/2018,0,5.9,23,4
21/04/2018,1,4.7,26,7
22/04/2018,10,5.6,27,10
23/04/2018,7.5,3.7,24,8.392
24/04/2018,15,6,22,8.392
25/04/2018,0,3,21,8.392
26/04/2018,11.5,4,20,8.392
27/04/2018,6,1.3,19,8.392
28/04/2018,0,5.6,20,8.392
29/04/2018,5.5,3.6,22,8.392
30/04/2018,24.5,4.233,23,8.392
01/05/2018,0,3.4,22,9
02/05/2018,0,5.7,22,10
03/05/2018,0,4.6,25,11
04/05/2018,11,9.2,25,11
05/05/2018,0,2.7,26,9
06/05/2018,0,4.1,22,8
07/05/2018,0,2.8,20,8
08/05/2018,14.2,3.6,17,9
09/05/2018,17,5,17,10
10/05/2018,0,2.6,18,6
11/05/2018,0.5,3.5,20,8
12/05/2018,3,5.3,22,9
13/05/2018,0,7.5,23,7
14/05/2018,15,8.8,24,8
15/05/2018,0,4.6,25,8
16/05/2018,0,6.3,29,8
17/05/2018,0,6.9,25,7
18/05/2018,0,5.6,26,7
19/05/2018,0,6.5,26,8
20/05/2018,6.5,5.1,26,10
21/05/2018,3.5,4.6,21,8
22/05/2018,0,5,25,8
23/05/2018,0,4.6,25,8
24/05/2018,0,7,26,6
25/05/2018,0,7.6,26,7
26/05/2018,0,5.9,27,7
27/05/2018,0,8.3,28,4
28/05/2018,0,6.8,29,7
29/05/2018,0,6.4,29,8
30/05/2018,0,4.8,31,8
31/05/2018,0,4.233,29,7
01/06/2018,0,4.8,25,8
02/06/2018,0,8.4,24,8
03/06/2018,0,4.6,24,10
04/06/2018,0,6.4,25,7
05/06/2018,0,6,25,8
06/06/2018,42,8.5,24,11
07/06/2018,11.5,5.3,22,12
08/06/2018,0,4,23,9
09/06/2018,0,1.8,23,9
10/06/2018,0,4.2,23,8
11/06/2018,9.5,4.8,22,12
12/06/2018,47,9.5,18,12
13/06/2018,6,10.3,17,11
14/06/2018,17.5,2.7,17,11
15/06/2018,5,3.6,17,12
16/06/2018,13.5,3.7,19,11
17/06/2018,16.5,6.8,18,11
18/06/2018,10,2.4,15,11
19/06/2018,0,2.2,18,12
20/06/2018,1,5.6,18,12
21/06/2018,0.5,0.9,18,11
22/06/2018,5,3.8,21,11
23/06/2018,0,3.2,23,8
24/06/2018,13,5.9,21,9
25/06/2018,0,5.3,20,10
26/06/2018,0,4.4,20,11
27/06/2018,7,4.4,22,9
28/06/2018,0,3.8,20,9
29/06/2018,0,4,21,8
30/06/2018,0,4.233,23,7
01/07/2018,0,4.4,24,7
02/07/2018,12.7,12.5,21,8
03/07/2018,12.7,12.7,21,8
04/07/2018,0,5.4,22,8
05/07/2018,0,4.5,22,8
06/07/2018,0,1.1,20,7
07/07/2018,9.2,4,23,9
08/07/2018,0,3.6,20,11
09/07/2018,0,2.4,23,8
10/07/2018,0,13.2,22,8
11/07/2018,6.5,4,20,8
12/07/2018,3.5,5.6,22,6
13/07/2018,6.5,6.7,22,8
14/07/2018,0,3.6,22,8
15/07/2018,0,5,23,5
16/07/2018,0,4.6,25,7
17/07/2018,0,4.3,22,8
18/07/2018,0,7.5,24,8
19/07/2018,0,5.9,25,7
20/07/2018,0,2.5,22,9
21/07/2018,0,8.5,24,9
22/07/2018,0,4.4,25,7
23/07/2018,0,6,27,9
24/07/2018,0,4.8,28,10
25/07/2018,1,5.8,26,8
26/07/2018,0,4.8,25,8
27/07/2018,0,5,25,9
28/07/2018,0,5.1,26,8
29/07/2018,0,6.6,25,8
30/07/2018,0,5,25,7
31/07/2018,0,4.233,26,8
01/08/2018,0,4.7,23,7
02/08/2018,0,3.4,21,8
03/08/2018,20,4.1,21,10
04/08/2018,14.5,3.8,22,7
05/08/2018,6.5,3.9,22,8
06/08/2018,12,3.6,21,8
07/08/2018,0,4,22,7
08/08/2018,14.2,6.2,23,7
09/08/2018,10,4.2,22,7
10/08/2018,0,5.4,22,8
11/08/2018,13,4.9,21,8
12/08/2018,0,1,18,11
13/08/2018,4.5,4,22,10
14/08/2018,0.5,4.2,21,7
15/08/2018,13.7,5.5,22,8
16/08/2018,0,5.9,23,6
17/08/2018,26.5,7.2,23,6
18/08/2018,2.5,3.4,21,7
19/08/2018,10.3,6,22,8
20/08/2018,7.5,4.4,22,9
21/08/2018,2.5,1.4,18,9
22/08/2018,0,3.2,20,10
23/08/2018,15.6,4.4,22,11
24/08/2018,1.5,4.6,22,9
25/08/2018,0,3.8,22,8
26/08/2018,0,3.3,21,8
27/08/2018,4.7,3.2,22,9
28/08/2018,0.5,2.4,20,8
29/08/2018,0,3.2,23,9
30/08/2018,0,4,22,9
31/08/2018,0,4.233,22,8
01/09/2018,5,5.2,24,7
02/09/2018,10.2,5.1,24,8
03/09/2018,0,3.8,23,9
04/09/2018,2,3.8,24,9
05/09/2018,2.3,4.9,23,9
06/09/2018,2,3.9,22,9
07/09/2018,0,2.7,23,7
08/09/2018,0,3.9,22,8
09/09/2018,0,4.6,25,9
10/09/2018,4,2.6,22,9
11/09/2018,0.8,3,21,11
12/09/2018,20,4,21,12
13/09/2018,7,3.4,20,9
14/09/2018,0,1,22,8
15/09/2018,41,4.8,23,8
16/09/2018,0,2.5,22,11
17/09/2018,8,3.9,24,8
18/09/2018,0,5.4,22,9
19/09/2018,0,3.6,25,8
20/09/2018,4.5,5.6,26,8
21/09/2018,0.5,4.8,24,9
22/09/2018,0,3.7,24,9
23/09/2018,0,3.3,22,8
24/09/2018,0,3.7,25,7
25/09/2018,0,2.7,22,8
26/09/2018,0,4.1,23,8
27/09/2018,0,3.9,21,7
28/09/2018,0,1.8,21,7
29/09/2018,2.5,0.6,20,7
30/09/2018,0,4.233,23,6
01/10/2018,0,2.4,22,7
02/10/2018,0,6.8,22,11
03/10/2018,0,3.9,21,10
04/10/2018,0,2.2,20,11
05/10/2018,3.5,5.4,25,8
06/10/2018,2.5,3.8,24,10
07/10/2018,20,5.3,21,8
08/10/2018,0,1.8,19,8
09/10/2018,0,5,21,9
10/10/2018,19,5.2,22,9
11/10/2018,6,5,22,11
12/10/2018,0,1.8,22,12
13/10/2018,0,2.2,21,11
14/10/2018,1.5,4.4,22,11
15/10/2018,2,1.4,22,10
16/10/2018,0,4.6,22,10
17/10/2018,0,1.8,15,8
18/10/2018,0,2.1,18,10
19/10/2018,0,0.6,17,11
20/10/2018,0.5,1.7,18,11
21/10/2018,0,3.1,18,12
22/10/2018,0,3.6,20,8
23/10/2018,0,5.6,22,8
24/10/2018,0,2.6,22,9
25/10/2018,0,5.2,25,8
26/10/2018,2.5,2.4,24,8
27/10/2018,1,1.6,22,7
28/10/2018,0,2,18,9
29/10/2018,0,2.8,21,9
30/10/2018,27.5,4.5,22,7
31/10/2018,0,4.233,22,8
01/11/2018,17,3.8,20,9
02/11/2018,33.5,4.9,18,10
03/11/2018,0.5,1.2,18,10
04/11/2018,0,1,18,10
05/11/2018,0,4,20,9
06/11/2018,0,3.2,24,6
07/11/2018,0,5,25,9
08/11/2018,0,3.2,25,6
09/11/2018,0,4.6,24,5
10/11/2018,0,3,22,8
11/11/2018,0,3.2,24,7
12/11/2018,0.1,3,22,7
13/11/2018,29.5,4.4,18,8
14/11/2018,8,1.2,8,4
15/11/2018,0,4.8,14,4
16/11/2018,0,2.2,18,4
17/11/2018,0,2.8,19,2
18/11/2018,0,4.8,20,3
19/11/2018,0,2.6,20,4
20/11/2018,0,2.9,22,4
21/11/2018,0,2.7,21,4
22/11/2018,0,4.5,24,6
23/11/2018,0,2.7,24,6
24/11/2018,0,4,22,8
25/11/2018,0,3.8,22,8
26/11/2018,0,2.1,19,7
27/11/2018,8,3.3,18,8
